集一切功德,jí yī qiè gōng dé,,name of a samādhi,
險道,xiǎn dào,,"“a hard path, a dangerous road”",Cf. 嶮道 (xiǎn dào)
險谷,xiǎn gǔ,,“a steep valley”,
隨順,suí shùn,,"“in conformity with, in accordance with”",
隨義,suí yì,,"“rightly, properly, in accordance with a principle”",
隨應,suí yìng,,"“as the situation demands; in conformity with, in accordance with”",
隨意所,suí yì suǒ,,"“according to one’s wish, as one likes it”",Cf. 隨意之所 (suí yì zhī suǒ)
隨意之所,suí yì zhī suǒ,,"“according to one’s wish, as one likes it”",Cf. 隨意所 (suí yì suǒ)
隨宜,suí yí,,“as the situation demands”,
隨學,suí xué,,"“learns of somebody, follows one’s example, imitates”",
隨喜,suí xǐ,,"“welcomes with joy, responds with joy”",
隨侍,suí shì,,"“follows in attendance, attends on”",
隤落,tuí luò,,"“collapses, falls down”",
隤毀,tuí huǐ,,"“collapses, disintegrates”",
障礙,zhàng ài,,"“hindrances, obstacles”",
除疑意,chú yí yì,,name of a prince,
除斷,chú duàn,,"“gets rid of, eradicates”",
除愈,chú yù,,“is healed”,
限礙,xiàn ài,,“hindrance”,
陀羅尼門,tuó luó ní mén,,“the gateway of dhāraṇīs (‘magic formulae’)”,
陀羅尼菩薩,tuó luó ní pú sà,,“a bodhisattva (who has acquired) dhāraṇīs”,
陀羅尼神咒,tuó luó ní shén zhòu,,“a supernatural dhāraṇī spell”,"Cf. 陀羅尼呪 (tuó luó ní zhòu), 神呪 (shén zhòu)"
陀羅尼呪,tuó luó ní zhòu,,“a dhāraṇī spell”,Cf. 陀羅尼神咒 (tuó luó ní shén zhòu)
陀羅尼,tuó luó ní,QYS. dâ lâ ṇi[niei-],a transliteration of Skt. dhāraṇī (“magic formula”),"Cf. 陀羅尼門 (tuó luó ní mén), 總持 (zǒng chí)"
阿鼻獄,ā bí yù,QYS. ʔâ bi-4,“the hell Avīci”,Cf. 阿鼻地獄 (ā bí dì yù)
阿鼻地獄,ā bí dì yù,QYS. ʔâ bi-4,“the hell Avīci”,Cf. 阿鼻獄 (ā bí yù)
阿鞞跋致,ā pí bá zhì,QYS. ʔâ biei buât ṭi-,"a transliteration of Skt. avivarti (ka) (“non-retrogressing, [concerning the state of bodhisattvas, who are firmly set on the path to enlightenment,] not liable to going back to a lower stage”)","Cf. 阿惟越致 (ā wéi yuè zhì), 不退 (bù tuì)"
阿難,ā nán,QYS. ʔâ nân[nân-],name of a disciple of the Buddha,
阿闍世,ā shé shì,QYS. ʔâ źja śjäi-,name of a king,
阿閦婆,ā chù pó,QYS. ʔâ tṣhjuk buâ,a transliteration of Skt. akṣobhya (a certain high number),
阿閦,ā chù,QYS. ʔâ tṣhjuk,name of a buddha,
阿那婆達多,ā nà pó dá duō,QYS. ʔâ nâ- buâ dât tâ,name of a dragon king [nāgarāja],
阿那含道,ā nà hán dào,,"“the path of an anāgāmin (“never-returner, one who will not again be reborn in this world”)”",
阿那含,ā nà hán,QYS. ʔâ nâ- γậm,"a transliteration of Skt. anāgāmin (“never-returner, one who will not again be reborn in this world”)",Cf. 阿那含道 (ā nà hán dào)
阿逸多,ā yì duō,QYS. ʔâ jiet tâ,an epithet of Maitreya,Cf. 阿逸 (ā yì)
阿逸,ā yì,QYS. ʔâ jiet,an epithet of Maitreya,Cf. 阿逸多 (ā yì duō)
阿迦尼吒天,ā jiā ní zhā tiān,QYS. ʔâ kja[ka] ṇi[niei-] ṭa[ṭa-],“Akaniṣṭha Heaven”,Cf. 有頂天 (yǒu dǐng tiān)
阿跋摩羅,ā bá mó luó,QYS. ʔâ buât muâ lâ,"a transliteration which corresponds with BHS. apasmāra, apasmāraka (a kind of demon)",
阿若憍陳如,ā ruò jiāo chén rú,QYS. ʔâ ńźja:[ńźjak] kjäu ḍjen ńźjwo,name of a disciple of the Buddha,Cf. 憍陳如 (jiāo chén rú)
阿耨多羅三藐三菩提,ā nòu duō luó sān miǎo sān pú tí,QYS. ʔâ nuok[nəu-] tâ lâ sâm måk[mjiäu4] sâm buo diei,"a transliteration of Skt. anuttara~ samyaksambodhi~ (“the unexcelled, perfect enlightenment”)",
阿羅訶,ā luó hē,QYS. ʔâ lâ xâ,a transliteration of Middle Indic nominative form arahā (= Skt. arhān),Cf. 阿羅漢 (ā luó hàn)
阿羅漢道,ā luó hàn dào,,“the Path of an arhat; arhatship”,Cf. 阿羅漢果 (ā luó hàn guǒ)
阿羅漢果,ā luó hàn guǒ,,“the fruit of arhatship; arhatship”,"Cf. 阿羅漢道 (ā luó hàn dào), 道果 (dào guǒ)"
阿羅漢,ā luó hàn,QYS. ʔâ lâ xân-,“a saint” (a transliteration of Skt. arhān [or its Middle Indic form arahaṃ] which is a nominative form of Skt. arhat),"Cf. 阿羅訶 (ā luó hē), 羅漢 (luó hàn), 大阿羅漢 (dà ā luó hàn), 應供 (yīng gòng)"
阿練若,ā liàn ruò,QYS. ʔâ lien- ńźja:[ńźjak],a transliteration of Skt. araṇya (“forest”); “a forest-dwelling monk”,
阿梨樹,ā lí shù,QYS. ʔâ li,“the arjaka tree” (Ocimum Gratissimum),
阿提目多伽,ā tí mù duō qié,QYS. ʔâ diei mjuk tâ gja,a transliteration of Skt. atimukta (bursage?) or Skt. adhimukta (a kind of jasmine?),
阿惟越致地,ā wéi yuè zhì dì,,"“the state (of bodhisattvas, who are firmly set on the path to enlightenment) without going back to a lower stage”","Cf. 阿惟越致 (ā wéi yuè zhì), 不退地 (bù tuì dì)"
阿惟越致,ā wéi yuè zhì,QYS. ʔâ jiwi jwɒt ṭi-,"a transliteration of Skt. avivarti (ka) (“non-retrogressing, [concerning the state of bodhisattvas, who are firmly set on the path to enlightenment,] not liable to going back to a lower stage”)","Cf. 阿鞞跋致 (ā pí bá zhì), 不退 (bù tuì), 阿惟越致地 (ā wéi yuè zhì dì)"
阿彌陀,ā mí tuó,QYS. ʔâ mjie4[mjie:4] dâ,name of a buddha,
阿㝹樓馱,ā nóu lóu tuó,QYS. ʔâ nəu ləu dâ-,a transliteration of Anuruddha (name of a disciple of the Buddha),
阿僧祇,ā sēng qí,QYS. ʔâ səng gjie4,a transliteration of Skt. asaṃkheya (“innumerable”),
阿修羅道,ā xiū luó dào,,“the state of existence of asuras”,
阿修羅,ā xiū luó,QYS. ʔâ sjəu lâ,"a transliteration of Skt. asura (“an evil spirit, demon, ghost, opponent of the gods”[MW.])",Cf. 阿修羅道 (ā xiū luó dào)
阤落,duò luò,,→ 褫落 (chǐ luò),
阤落,tuó luò,,→ 褫落 (chǐ luò),
闍提,shé tí,QYS. źja diei,"a transliteration of Skt. jāti (Jasminum grandiflorum, a kind of jasmine)",
閻浮金光,yán fú jīn guāng,QYS. jiäm bjəu,name of a buddha,
閻浮那提金光,yán fú nà tí jīn guāng,QYS. jiäm bjəu nâ-[nâ:] diei,name of a buddha,
閻浮檀金,yán fú tán jīn,QYS. jiäm bjəu dân,"“Jāmbūnada gold, gold from the Jambū river, gold”",
閻浮提,yán fú tí,QYS. jiäm bjəu diei,a transliteration of Skt. Jambudvīpa (“India”),
開解,kāi jiě,,"“understands clearly, makes someone understand clearly”",
開示,kāi shì,,"“shows, points at, sets forth”",
開敷,kāi fū,,"“blossoms, flowers”",
開悟,kāi wù,,“enlightens”,
長遠,cháng yuǎn,,“(a) very long (time)”,
長表,cháng biǎo,,“a long banner (or flag)”,Cf. 表刹 (biǎo chà)
長莊嚴,cháng zhuāng yán,,name of a samādhi,
長夜,cháng yè,,“(for) a long time” ( lit. “a long night”. A literal translation of Skt. dīrgha-rātram),
鐵圍,tiě wéi,,name of a mountain,"Cf. 大鐵圍 (dà tiě wéi), 小鐵圍 (xiǎo tiě wéi)"
鍮石,tōu shí,,“copper”,
鉛錫,qiān xī,,“lead”,
鈍根,dùn gēn,,“dull faculties; those of dull faculties”,Cf. 利根 (lì gēn)
金山,jīn shān,,“golden mountains”#,
金剛,jīn gāng,,“diamond”,
金刹,jīn chà,,“a golden canopy” (“刹” is perhaps a transliteration of Skt. chattra [“a canopy”]; but Prof. Jì Xiànlín takes it as a transliteration of Skt. yaṣṭi [“a flagpole”][see Zhōu 1963: 6]),Cf. 表刹 (biǎo chà)
野干,yě gān,QYS. jia: kân,“jackal” (a transliteration of Skt. śṛgāla),
釋迦牟尼,shì jiā móu ní,QYS. śjäk kja[ka] mjəu ṇi[niei-],a transliteration of Śākyamuni,
釋迦文,shì jiā wén,QYS. śjäk kja[ka] mjuən,a transliteration of Śākyamuni,
釋梵,shì fàn,QYS. śjäk bjwɒm-,“Śakra (name of Indra) and Brahmā”,"Cf. 帝釋 (dì shì), 天帝釋 (tiān dì shì)"
釋提桓因,shì tí huán yīn,QYS. śjäk diei γuân ʔjien4,"a transliteration of Skt. Śakra devānām indra (“Śakra, the king of gods”)","Cf. 帝釋 (dì shì), 天帝釋 (tiān dì shì)"
釋師子,shì shī zǐ,,"“lion of the Śākyas, i.e. the Buddha”",
釋,shì,QYS. śjäk,a transliteration of Skt. Śākya (name of a tribe),
醫道,yī dào,,"“art of healing, medical knowledge”",
醜陋,chǒu lòu,,“ugly”,
酥燈,sū dēng,,“a ghee lamp”,
酥油,sū yóu,,“butter”,
都,dōu,,→ 都 (dū),
都,dū,," (with modal negatives) “(not) at all, (not) in the least”",
邪見法,xié jiàn fǎ,,“teachings of wrong views”,
邪見,xié jiàn,,"“a wrong view, a crooked view; of crooked views”","Cf. 邪見法 (xié jiàn fǎ), 妄見 (wàng jiàn)"
邪智,xié zhì,,“perverse wisdom”,
邪慢,xié màn,,"“false arrogance, ill-founded pride”#",
那羅延,nà luó yán,QYS. nâ- lâ jiän,"a transliteration of Skt. Nārāyaṇa (“the son of the original Man; he is identified with Brahmā, Viṣṇu or Kṛṣṇa”[MW])",
那羅,nà luó,QYS. nâ- lâ,"a transliteration of Middle Indic forms naḷa, nala which correspond with Skt. naṭa (“actor, dancer”)",
那由他,nà yóu tā,QYS. nâ- jiəu thâ,a transliteration of BHS. nayuta (a very high number),
那提迦葉,nà tí jiā shè[yè],QYS. nâ- diei kja[ka] śjäp[jiäp],name of a disciple of the Buddha,
還復,huán fù,,"“is restored, is recovered”",
還,hái,,“once again”,
還,huán,,→ 還 (hái),
適曾,shì céng,,"“once, onetime” (?)",
適,shì,,"“as soon as, immediately after”",
違背,wéi bèi,,"“is contrary to, goes against”",
道法,dào fǎ,,“the dharmas of the Path; the dharmas”,
道樹,dào shù,,"“the Bodhi tree, the tree of enlightenment”",Cf. 菩提樹 (pú tí shù)
道果,dào guǒ,,“the fruits of the (Buddha-)Path”,Cf. 阿羅漢果 (ā luó hàn guǒ)
道意,dào yì,,“an intention for enlightenment”,"Cf. 道心 (dào xīn), 大道心 (dà dào xīn)"
道心,dào xīn,,"“aspiration for the (Buddha-)Path, an intention for enlightenment”","Cf. 大道心 (dà dào xīn), 道意 (dào yì)"
道場,dào chǎng,,“the platform or terrace of the Path (enlightenment)” (the spot under the Bodhi tree on which the Buddha was seated at the time of attaining enlightenment),
道,dào,," (1) “the (Buddha-)Path, enlightenment; the practice of the Path”#","Cf. 大道 (dà dào), 無上道 (wú shàng dào), 佛道 (fó dào), 淨道 (jìng dào)"
道,dào,, (2) “distance”# (?),
過患,guò huàn,,“faults and sufferings”,
過咎,guò jiù,,"“a fault, guilt”",
過去世,guò qù shì,,“in ages gone by”,Cf. 過世 (guò shì)
過去,guò qù,,"“past, former, of the past; the past”",Cf. 過去世 (guò qù shì)
過世,guò shì,,“in ages gone by”,Cf. 過去世 (guò qù shì)
遍滿,biàn mǎn,,"“fills all over, fills completely”",
遍淨,biàn jìng,,"“the Wholly Pure heaven” (a translation of Skt. Śubhakṛtsna [name of a class of gods, cf. BHSD, s.v.])",
遍布,biàn bù,,"“strews everywhere, spreads all over”",
遊樂,yóu lè,,"“amuses oneself, enjoys oneself”",
遇會,yù huì,,"“meets with, encounters”",
遇便,yù biàn,,“by chance”,
逮得,dài dé,,"“obtains, attains”",
造立,zào lì,,"“produces; creates, establishes, fixes”",
通泰,tōng tài,,"“relaxed, at ease”",
逈絶,jiǒng jué,,"“far off, isolated”",
逆路伽耶陀,nì lù qié yē tuó,,“an anti-materialist”,Cf. 路伽耶陀 (lù qié yē tuó)
逃逝,táo shì,,“runs away”,
退還,tuì huán,,“returns”,
退轉,tuì zhuǎn,,→ 不退轉 (bù tuì zhuǎn),
退沒,tuì mò,,"“slides down and disappears, falls (from divine existence)”",
迷悶,mí mèn,,"“gets confused, loses consciousness”",
迴向,huí xiàng,,"“returns, transfers or diverts (one’s merit to enlightenment or the Buddha-path)”",
迦陵頻伽,jiā líng pín qié,QYS. kja[ka] ljəng bjien4 gja,a transliteration of Skt. kalaviṅka (an Indian cuckoo),
迦耶迦葉,jiā yē jiā shè,,→ 伽耶迦葉 (qié yē jiā shè),
迦留陀夷,jiā liú tuó yí,QYS. kja[ka] ljəu dâ jii,name of a disciple of the Buddha,
迦樓羅,jiā lóu luó,QYS. kja[ka] ləu lâ,"a transliteration which corresponds with Skt. garuḍa, Pa. garuḷa (name of a mythical bird)",
近處,jìn chù,,“the range (of living beings with whom) one is on intimate terms; sphere of things with which one associates himself”#,Cf. 親近處 (qīn jìn chù)
辯才,biàn cái,,“eloquence”,"Cf. 樂説辯才 (lè shuō biàn cái), 樂説辯力 (lè shuō biàn lì)"
辟支佛乘,bì zhī fó shèng,,“the Vehicle of the pratyekabuddha”,
辟支佛,bì zhī fó,QYS. pjiäk4 tśje bjuət,a transliteration of BHS. pratyekabuddha (“one who has attained enlightenment by himself”),Cf. 緣覺 (yuán jué)
轉輪聖王,zhuǎn lún shèng wáng,,“lit. a wheel-turning sage-king” (a translation of Skt. cakravartin),"Cf. 轉輪 (zhuǎn lún), 轉輪王 (zhuǎn lún wáng)"
轉輪王,zhuǎn lún wáng,,“lit. a wheel-turning king” (a translation of Skt. cakravartin),"Cf. 轉輪 (zhuǎn lún), 轉輪聖王 (zhuǎn lún shèng wáng)"
轉輪,zhuǎn lún,,“a wheel-turning (king)” (a translation of Skt. cakravartin),"Cf. 轉輪聖王 (zhuǎn lún shèng wáng), 轉輪王 (zhuǎn lún wáng)"
轉身,zhuǎn shēn,,“is reborn”#,
轉次,zhuǎn cì,,“one after another”,
轉更,zhuǎn gèng,,“all the more”,
轉復,zhuǎn fù,,"“gradually, little by little; further, more, in a greater degree”",
輪迴,lún huí,,"“transmigrates through (the six realms), repeatedly passes through life and death”",
輩,bèi,,"→ 此輩 (cǐ bèi), 我等輩 (wǒ děng bèi)",
輦輿,liǎn yú,,→ 輦輿 (niǎn yú),
輦輿,niǎn yú,,"“a man-drawn carriage, a palanquin”",
輕罵,qīng mà,,“contempts and slanders”,
輕笑,qīng xiào,,"“mocks, laughs at”",
輕毀,qīng huǐ,,"slights, slanders, despises”",
載,zài,,name of a unit of a high number,
軟語,ruǎn yǔ,,“gentle words”,
軒飾,xuān shì,,“decorations of a carriage”,
車𤦲,chē qú,,“giant clam shell”,
軀命,qū mìng,,“life”,
身相,shēn xiàng,,“shape of the body”,
蹈七寶華,dǎo qī bǎo huā,,name of a buddha,
踐蹋,jiàn tà,,"“tramples, stamps”",
踊現,yǒng xiàn,,“emerges”,
踊出,yǒng chū,,"“emerges, arises”",
踈缺,shū quē,,“sparse and missing”,
路伽耶陀,lù qié yē tuó,QYS. luo- gja jia[zja] dâ,a transliteration of Skt. lokāyata (“a materialist”),Cf. 逆路伽耶陀 (nì lù qié yē tuó)
跋難陀,bá nán tuó,QYS. buât nân[nân-] dâ,name of a dragon king [nāgarāja],
跋陀婆羅,bá tuó pó luó,QYS. buât dâ buâ lâ,name of a bodhisattva,
跉跰,líng píng,,→ 伶俜 (líng píng),
趣,qù,,“means”,"Cf. 意趣 (yì qù), 義趣 (yì qù)"
越三界,yuè sān jiè,,name of a bodhisattva,
超出,chāo chū,,"“goes beyond, transcends”",
起立,qǐ lì,,"“builds, erects”",
走戲,zǒu xì,,“runs about in play”,
赤蓮華,chì lián huā,,“a red lotus flower”,
赤白銅,chì bái tóng,,“red and white copper”,
赤栴檀,chì zhān tán,,“red sandalwood”,
賢聖,xián shèng,,“sagacious and saintly”,
賢劫,xián jié,,name of a kalpa,
賈客,gǔ kè,,“a tradesman”,
貪著,tān zhuó,,“is greedy for”,
貪樂,tān lè,,"“clings to, is addicted to”",
貪惜,tān xī,,"“clings to, cherishes”",
貪嫉,tān jí,,“avarice and envy”,
貧里,pín lǐ,,“an impoverished district”,
豪貴,háo guì,,"“distinguished, high-ranking”",
豐足,fēng zú,,"“is prosperous, abundant”",
讚頌,zàn sòng,,“sings in praise”,
讚詠,zàn yǒng,,“praises”,
讚美,zàn měi,,“praises”,
讚示,zàn shì,,"“points out with praise, praises and demonstrates”",
變現,biàn xiàn,,“creates by magic”,
變成,biàn chéng,,"“changes into, transforms into”",Cf. 化成 (huà chéng)
變化人,biàn huà rén,,“a magically conjured-up person”,Cf. 化人 (huà rén)
讀説,dú shuō,,“reads and recites”,
讀持,dú chí,,“reads and bears in mind (or memory)”,
護持,hù chí,,"“keeps, holds, protects”",
護惜,hù xī,,"“cherishes, treasures”",
護念,hù niàn,,“keeps in mind”,
證知,zhèng zhī,,"“testifies, proves, witnesses, attests”",
證,zhèng,,"“realises, attains, reaches”","Cf. 得證 (dé zhèng), 取證 (qǔ zhèng)"
謟誑,tāo kuáng,,→ 諂誑 (chǎn kuáng),
講堂,jiǎng táng,,“a hall”,
謂爲,wèi wèi,,"“considers, thinks”",
諸餘,zhū yú,,“other”,
諸法王,zhū fǎ wáng,,“the king of the dharmas (i.e. teachings)”,"Cf. 法王 (fǎ wáng), 法之王 (fǎ zhī wáng)"
諸有,zhū yǒu,,“all; those who”,
諸佛集,zhū fó jí,,name of a samādhi ?,
諸人,zhū rén,,"“you, my people” (used in addressing others)#",
諦,dì,,“the truth”,
諍競,zhēng jìng,,"“argues, disputes”",
諂誑,chǎn kuáng,,“deceives”,
諂曲,chǎn qū,,“deceitful”,
調達,tiáo dá,QYS. dieu[dieu-] dât,a transliteration of Skt. Devadatta (name of a cousin of the Buddha and hostile to him),
調柔地,tiáo róu dì,,“the stage of gentleness”,
調柔,tiáo róu,,“tame and gentle”,Cf. 調柔地 (tiáo róu dì)
調御丈夫,tiáo yù zhàng fū,,“the tamer of men” (one of the epithets of a buddha),
調伏,tiáo fú,,"“subdues, tames”",Cf. 柔伏 (róu fú)
語言道,yǔ yán dào,,"“the way of words, methods of expression”",
誘引,yòu yǐn,,"“entices, seduces, attracts”",Cf. 引導 (yǐn dǎo)
誓願,shì yuàn,,"“swears, vows; a vow, an earnest wish”",Cf. 大誓願 (dà shì yuàn)
誑惑,kuáng huò,,"“deludes, deceives”",
誠諦,chéng dì,,“genuine and true; truth”,
設復,shè fù,,“if”,
記,jì,,"“prophecy, prediction; prophesies, predicts”",Cf. 決 (jué)
討罰,tǎo fá,,"“reduces to submission, punishes”",
計著,jì zhuó,,“makes assumptions and adheres to them”,
言辭相,yán cí xiàng,,“words and features”,
言趣,yán qù,,“meaning of words”,
言説,yán shuō,,"“tells, speaks”",
觸嬈,chù rǎo,,"“makes sport of; disturbs, harasses”",
觸,chù,,“contacts (of the sense-organs with their objects)”,
解脱,jiě tuō,,"“frees oneself from; is emancipated, released; emancipation, deliverance”",Cf. 八解脱 (bā jiě tuō)
解了,jiě liǎo,,“comprehends clearly”,
解一切衆生語言,jiě yī qiè zhòng shēng yǔ yán,,name of a dhāraṇī,
角貝,jiǎo bèi,,“horns and conch shells (as musical instruments)”,
角睞,jiǎo lài,,"“asquint, squinty”",
觀知,guān zhī,,“observes and knows”,
觀世音,guān shì yīn,,name of a bodhisattva,
覺道,jué dào,,"“enlightenment and the (Buddha-)Path, enlightenment”",
親近處,qīn jìn chù,,“the range (of living beings with whom) one is on intimate terms; sphere of things with which one associates himself”,Cf. 近處 (jìn chù)
見濁,jiàn zhuó,,“the defilement of views”,
見,jiàn,," (1) “a (wrong, a crooked) view”","Cf. 妄見 (wàng jiàn), 邪見 (xié jiàn)"
見,jiàn,, (2) (indicating an action performed by one person towards another {??},
覆苫,fù shān,,“a thatch”,
覆,fù,,"“further, more, again” (= 復)",
要當,yào dāng,,“is going to” or “must”,
褰縮,qiān suō,,"“shrunk, wrinkled” or “(the lips are) pursed”",
褫落,chǐ luò,,“peels off”,
衰邁,shuāi mài,,"“aged, feeble (because of age)”",
衰惱,shuāi nǎo,,“decline and grief” or “grief”,
衰患,shuāi huàn,,“decline and sufferings”,
